"lotno","defect_esd","defect_otr","defect_rfl","defect_rfo","defect_rfp","defect_rmc","defect_rmn","defect_rmw","defect_rnm","defect_rot","defect_rpr","defect_rsm","defect_rsu","defect_rtj"
LOTMT2775,0,0,0,0,0,0,0,0,76,0,76,76,0,0
LOTMT2889,0,0,38,722,0,0,0,0,152,0,1102,76,0,0
LOTMT0513,0,0,0,190,0,0,0,0,494,0,0,76,0,0
LOTMT2778,0,0,0,38,0,0,0,0,0,0,0,76,0,0
LOTMT2885,0,0,0,0,0,0,0,0,1140,0,0,76,0,0
LOTMT2770,0,0,0,38,0,0,0,0,2850,0,76,76,0,0
LOTMT2917,0,0,0,0,0,0,0,0,38,0,0,76,0,0
LOTMT1014,0,0,0,114,0,0,0,0,228,0,418,76,0,0
LOTMT2974,0,0,0,0,0,0,0,0,570,0,114,76,0,0
LOTMT0704,0,0,0,76,0,0,0,76,418,0,1786,76,0,0
LOTMT0476,0,0,0,988,0,0,0,1482,570,0,114,76,0,0
LOTMT1420,0,0,0,0,0,0,0,228,0,0,1824,76,0,0
LOTMT1202,0,0,0,0,0,0,0,0,228,0,836,76,0,0
LOTMT1192,0,0,1824,228,0,0,0,760,2622,0,760,76,0,0
LOTMT1191,0,0,570,0,0,0,0,38,1444,0,228,76,0,0
LOTMT2193,0,0,3800,114,0,0,0,0,608,760,0,76,0,0
LOTMT1104,0,0,0,266,0,0,0,152,76,0,342,76,0,0
LOTMT2973,0,0,0,0,0,0,0,0,304,0,608,76,0,0
LOTMT1201,0,0,0,76,0,0,0,0,266,0,760,76,0,0
LOTMT0847,0,0,0,152,0,0,0,418,76,0,1064,76,0,0
LOTMT1686,0,0,0,38,0,0,0,0,0,0,646,76,0,0
LOTMT1647,0,0,0,0,0,0,0,0,266,0,342,76,0,0
LOTMT1086,0,0,0,114,0,0,0,380,456,0,570,76,0,0
LOTMT1087,0,0,0,114,0,0,0,0,76,0,684,76,0,0
LOTMT1595,0,0,0,76,0,0,0,0,228,0,266,76,0,0
LOTMT1625,0,0,380,0,0,0,0,0,0,0,76,76,0,0
LOTMT1726,0,0,1140,190,0,0,0,0,190,0,0,76,0,0
LOTMT0318,0,0,0,0,0,0,0,114,380,0,114,76,0,0
LOTMT1219,0,0,0,304,0,0,0,0,38,0,38,76,0,0
LOTMT2071,0,0,1140,456,0,0,0,0,1216,0,0,76,0,0
LOTMT2371,0,0,0,76,0,0,0,0,266,0,38,0,0,0
LOTMT2433,0,0,0,0,0,0,0,0,0,0,0,76,0,0
LOTMT1413,0,0,0,38,0,0,0,114,342,0,190,76,0,0
LOTMT2319,0,0,0,76,0,0,0,1710,418,0,0,76,0,0
LOTMT2372,0,0,0,646,0,0,0,0,228,0,1596,76,0,0
