"lotno","partname","mainlot","inspection_no","first_input_qty","input_date","input_process_code","last_output_qty","completed_date","product_group","product","last_nc_no","nc_rank","nc_issue_date","nc_state","nc_defect_rate","nc_defect_name","total_nc","created_at","updated_at","semi_fg_lotno"
LOTMT0273,"4DSACE803227","","",9576,2025-10-02 00:00:00.000,"1",6000,2025-10-17 00:35:00.000,,,NCR20251005-00048,C,2025-10-05,Stopped,"11.692417",Welding area dirty,2,2025-11-28 09:31:00.000,,""
LOTMT0976,"4DSACE803477","","",9576,2025-10-09 00:00:00.000,"1",6000,2025-12-03 13:19:00.000,,,NCR20251021-00374,B,2025-10-21,undefined,"100",LC Short chip,2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT0683,"6DSACE803337","","",5985,2025-10-08 00:00:00.000,"1",2500,2025-11-10 13:22:00.000,,,NCR20251022-00306,B,2025-10-22,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1177,"4DSACE803477","","",9576,2025-10-15 00:00:00.000,"1",6000,2025-11-06 09:49:00.000,,,NCR20251027-00126,B,2025-10-27,undefined,"100",Total yield ratio lower spec (LC),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1191,"4DSACE803477","","",9576,2025-10-15 00:00:00.000,"1",3000,2025-11-04 10:50:00.000,,,NCR20251031-00402,B,2025-10-31,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1219,"6DSACE803477","","",7980,2025-10-09 00:00:00.000,"1",5000,2025-11-24 10:17:00.000,,,NCR20251016-00340,B,2025-10-16,undefined,"100",Foil Burn,2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1281,"3DSACE803226","","",11970,2025-10-17 00:00:00.000,"1",6000,2025-11-06 09:51:00.000,,,NCR20251031-00441,B,2025-10-31,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1377,"6DSACE803227","","",7980,2025-10-18 00:00:00.000,"1",2500,2025-11-06 09:27:00.000,,,NCR20251027-00345,B,2025-10-27,undefined,"57.058977",Machine abnormal ,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT0704,"4DSACE803477","","",9576,2025-10-08 00:00:00.000,"1",6000,2025-11-01 14:26:00.000,,,NCR20251024-00170,B,2025-10-24,undefined,"100",Total yield ratio lower spec (ESR),2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT1390,"4DSACE803477","","",9576,2025-10-17 00:00:00.000,"1",3000,2025-11-06 09:25:00.000,,,NCR20251029-00181,B,2025-10-29,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
