"lotno","start_by","start_dtime","end_by","end_dtime"
LOTMT2775,"36250",2025-11-30 00:00:00.000,"29961",2025-11-30 13:13:00.000
LOTMT2889,"27007",2025-12-02 00:00:00.000,"27007",2025-12-03 02:30:00.000
LOTMT0513,"30602",2025-12-10 00:00:00.000,"30602",2025-12-10 21:30:00.000
LOTMT2778,"27244",2025-11-30 00:00:00.000,"27244",2025-11-30 20:54:00.000
LOTMT2885,"33958",2025-12-03 00:00:00.000,"33958",2025-12-03 03:52:00.000
LOTMT2770,"19665",2025-12-02 00:00:00.000,"19665",2025-12-02 18:12:00.000
LOTMT2917,"19665",2025-11-27 00:00:00.000,"19665",2025-11-27 16:52:00.000
LOTMT1014,"24279",2025-11-13 00:00:00.000,"24279",2025-11-13 12:20:00.000
LOTMT2974,"34950",2025-11-30 00:00:00.000,"34950",2025-11-30 10:47:00.000
LOTMT0704,"36250",2025-12-11 00:00:00.000,"36250",2025-12-12 02:43:00.000
LOTMT0476,"31349",2025-12-11 00:00:00.000,"38647",2025-12-11 10:51:00.000
LOTMT1420,"36250",2026-01-24 00:00:00.000,"36250",2026-01-24 10:35:00.000
LOTMT1202,"37967",2025-12-19 00:00:00.000,"37967",2025-12-19 04:51:00.000
LOTMT1192,"38647",2025-12-20 00:00:00.000,"38647",2025-12-20 18:20:00.000
LOTMT1191,"38647",2025-12-20 00:00:00.000,"38647",2025-12-20 14:27:00.000
LOTMT2193,"39122",2025-11-27 00:00:00.000,"38647",2025-11-27 04:43:00.000
LOTMT1104,"19665",2026-01-18 00:00:00.000,"19665",2026-01-18 10:09:00.000
LOTMT2973,"27244",2025-11-30 00:00:00.000,"34950",2025-11-30 07:50:00.000
LOTMT1201,"19665",2025-11-15 00:00:00.000,"19665",2025-11-15 23:22:00.000
LOTMT0847,"36250",2026-01-18 00:00:00.000,"36250",2026-01-18 14:54:00.000
LOTMT1686,"39123",2026-01-24 00:00:00.000,"39123",2026-01-24 03:37:00.000
LOTMT1647,"30608",2026-01-26 00:00:00.000,"30608",2026-01-26 16:57:00.000
LOTMT1086,"27007",2026-01-15 00:00:00.000,"27007",2026-01-15 13:56:00.000
LOTMT1087,"27007",2026-01-15 00:00:00.000,"36250",2026-01-15 20:33:00.000
LOTMT1595,"36250",2026-01-23 00:00:00.000,"36250",2026-01-23 12:53:00.000
LOTMT1625,"23135",2026-01-24 00:00:00.000,"23135",2026-01-24 10:14:00.000
LOTMT1726,"27007",2025-12-25 00:00:00.000,"34950",2025-12-25 07:46:00.000
LOTMT0318,"19665",2026-01-14 00:00:00.000,"19665",2026-01-14 05:19:00.000
LOTMT1219,"34876",2025-12-20 00:00:00.000,"33064",2025-12-20 10:42:00.000
LOTMT2071,"30602",2026-01-27 00:00:00.000,"30602",2026-01-27 10:09:00.000
LOTMT2371,"38647",2026-02-01 00:00:00.000,"38647",2026-02-02 07:32:00.000
LOTMT2433,"34876",2026-02-03 00:00:00.000,"34876",2026-02-03 12:25:00.000
LOTMT1413,"24279",2026-01-22 00:00:00.000,"24279",2026-01-22 05:43:00.000
LOTMT2319,"34950",2026-01-30 00:00:00.000,"34950",2026-01-30 12:27:00.000
LOTMT2372,"38647",2026-02-02 00:00:00.000,"38647",2026-02-02 10:27:00.000
LOTMT1460,"36250",2026-02-18 00:00:00.000,"36250",2026-02-18 13:39:00.000
LOTMT2733,"31349",2025-11-30 00:00:00.000,"31349",2025-11-30 03:57:00.000
LOTMT1543,"19726",2026-02-19 00:00:00.000,"19726",2026-02-19 17:54:00.000
LOTMT0642,"37967",2026-02-08 00:00:00.000,"37967",2026-02-08 03:11:00.000
LOTMT0286,"19726",2026-02-05 00:00:00.000,"19726",2026-02-06 01:17:00.000
LOTMT1229,"19665",2026-03-14 00:00:00.000,"19665",2026-03-15 02:53:00.000
LOTMT1177,"37967",2026-02-15 00:00:00.000,"37967",2026-02-15 04:42:00.000
LOTMT1327,"34950",2026-03-17 00:00:00.000,"19726",2026-03-17 13:01:00.000
LOTMT2384,"34876",2026-02-02 00:00:00.000,"34876",2026-02-02 09:44:00.000
LOTMT2097,"39123",2026-02-24 00:00:00.000,"39123",2026-02-24 05:57:00.000
LOTMT1773,"27007",2026-02-20 00:00:00.000,"27007",2026-02-20 05:25:00.000
LOTMT2015,"30608",2026-01-26 00:00:00.000,"30608",2026-01-26 17:38:00.000
LOTMT1774,"27007",2026-02-20 00:00:00.000,"19726",2026-02-20 18:41:00.000
LOTMT2739,"24279",2025-11-30 00:00:00.000,"24279",2025-11-30 22:48:00.000
LOTMT2154,"33958",2026-02-24 00:00:00.000,"33958",2026-02-24 05:19:00.000
LOTMT1580,"24279",2026-02-18 00:00:00.000,"24279",2026-02-18 22:51:00.000
LOTMT0029,"34876",2026-02-02 00:00:00.000,"34876",2026-02-02 14:42:00.000
LOTMT0976,"29808",2026-02-13 00:00:00.000,"29808",2026-02-13 06:11:00.000
LOTMT2672,"34950",2026-03-01 00:00:00.000,"34950",2026-03-01 22:23:00.000
LOTMT1783,"27007",2026-02-19 00:00:00.000,"27007",2026-02-19 22:29:00.000
LOTMT1211,"38647",2025-11-16 00:00:00.000,"38647",2025-11-16 10:42:00.000
LOTMT2089,"34950",2026-02-23 00:00:00.000,"34950",2026-02-23 10:14:00.000
LOTMT0278,"30608",2026-03-06 00:00:00.000,"30608",2026-03-06 06:06:00.000
LOTMT1776,"19665",2026-02-19 00:00:00.000,"19665",2026-02-19 18:23:00.000
LOTMT2115,"38647",2026-02-26 00:00:00.000,"38647",2026-02-26 04:07:00.000
LOTMT2117,"19665",2026-02-25 00:00:00.000,"19665",2026-02-25 13:27:00.000
LOTMT0025,"36250",2026-03-02 00:00:00.000,"36250",2026-03-03 00:35:00.000
LOTMT0273,"33958",2026-03-05 00:00:00.000,"33958",2026-03-05 12:51:00.000
LOTMT2515,"39122",2025-09-27 00:00:00.000,"38647",2025-09-27 18:11:00.000
LOTMT2564,"24279",2026-02-28 00:00:00.000,"24279",2026-03-01 02:24:00.000
LOTMT2354,"38647",2026-02-26 00:00:00.000,"38647",2026-02-26 02:43:00.000
LOTMT0020,"24279",2026-03-03 00:00:00.000,"24279",2026-03-03 10:04:00.000
LOTMT2132,"19665",2026-02-24 00:00:00.000,"19665",2026-02-24 10:48:00.000
LOTMT0997,"28622",2026-03-14 00:00:00.000,"28622",2026-03-14 15:12:00.000
LOTMT2736,"23135",2025-11-30 00:00:00.000,"23135",2025-11-30 14:42:00.000
LOTMT2099,"30608",2026-02-24 00:00:00.000,"30608",2026-02-24 15:41:00.000
LOTMT2636,"19665",2025-09-29 00:00:00.000,"19665",2025-09-29 09:40:00.000
LOTMT2642,"33064",2025-09-30 00:00:00.000,"33064",2025-09-30 03:30:00.000
LOTMT2558,"29808",2026-02-28 00:00:00.000,"29808",2026-02-28 09:54:00.000
LOTMT1209,"37967",2026-03-16 00:00:00.000,"37967",2026-03-16 10:50:00.000
