"lotno","material_part_a","material_lot_a","material_lot_x","material_lot_y","material_lot_z"
LOTMT2775,ABCC22111-01,A509080750R,"251021SPA1M00100004","1080340107","250425SPA1M00090010"
LOTMT2889,ABCC10447-01,A509080750R,"251021SPA1M00100004",K2305229-2,"251011SPA1M00080029"
LOTMT2015,ABCC10602-01,A511110850R,"251202SPA1M00020008",L8320229-1,"251121SPA1M00160025"
LOTMT1774,ABCC10509-01SA,A512010750R,"260109SPA1M00010008",K7900229-2,"251121SPA1M00260013"
LOTMT2739,ABCC10703-01,A509080750R,"251021SPA1M00100004",JF185229-2,"251106SPA1M00070006"
LOTMT2154,ABCC10602-01,A512010750R,"260109SPA1M00010008",LD60A229-2,"251126SPA1M00120011"
LOTMT1580,ABCC10509-01SA,A512010750R,"260109SPA1M00010008",K7BD0129-3,"251121SPA1M00070012"
LOTMT0029,ABCC10602-01,A511110850R,"251202SPA1M00020004",LD605129-2,"251121SPA1M00120013"
LOTMT2672,ABCC10433-01,A512010750R,"260109SPA1M00010008","31HE6552-2","250712SPA1M00090032"
LOTMT1783,ABCC10602-01,A512010750R,"260109SPA1M00010008",LD60A129-3,"251126SPA1M00100022"
LOTMT1211,ABCC10602-01,A509010750R,"250923SPA1M00050008","31KBCC02-1","250920SPA1M00520032"
LOTMT2089,ABCC10509-01SA,A512010750R,"260109SPA1M00010008",K7900229-2,"251121SPA1M00260009"
LOTMT0278,ABCC10509-01SA,A512020850R,"260128SPA1M00090007",L5800129-3,"260124SPA1M00030003"
LOTMT1776,ABCC10433-01,A512010750R,"260109SPA1M00010008","31HE6552-1","250712SPA1M00080035"
LOTMT2115,ABCC10447-01,A512010750R,"260109SPA1M00010008",L4595129-3,"251223SPA1M00060018"
LOTMT2117,ABCC10447-01,A512010750R,"260109SPA1M00010008",L4595129-3,"251223SPA1M00060011"
LOTMT0273,ABCC10509-01SA,A512020850R,"260128SPA1M00090007",L5800129-2,"260124SPA1M00020001"
LOTMT2515,ABCC10602-01,A507280750R,"250814SPA1M00010001","31J8D452-2","250829SPA1M00030033"
LOTMT2564,ABCC22111-01,A512010750R,"260109SPA1M00010008","1080340118","250425SPA1M00200016"
LOTMT2354,ABCC10509-01SA,A512010750R,"260109SPA1M00010008",K7900129-3,"251121SPA1M00240015"
LOTMT0020,ABCC10447-01,A512020850R,"260128SPA1M00090007",L8F65229-2,"251223SPA1M00130043"
LOTMT2132,ABCC10509-01SA,A512010750R,"260109SPA1M00010008",K7900129-2,"251121SPA1M00230015"
LOTMT0997,ABCC10602-01,A601060750R,"260128SPA1M00080006",LE24A129-2,"251204SPA1M00260003"
LOTMT2736,ABCC10703-01,A509080750R,"251021SPA1M00100004",JF185229-2,"251106SPA1M00070006"
LOTMT2099,ABCC10703-01,A512010750R,"260109SPA1M00010008",JF1E5229-2,"251106SPA1M00040018"
LOTMT2636,ABCC10602-01,A507280750R,"250814SPA1M00010001","31J8D452-3","250829SPA1M00040007"
LOTMT2642,ABCC10602-01,A507280750R,"250814SPA1M00010001","31J8D452-3","250829SPA1M00040020"
LOTMT2558,ABCC10503-01,A512010750R,"260109SPA1M00010008","31GFD502-3","250526SPA1M00140008"
LOTMT1209,ABCC10602-01,A601060750R,"260128SPA1M00080006",LE24A129-1,"251204SPA1M00250036"
LOTMT1201,ABCC10602-01,A509010750R,"250923SPA1M00050008","31KBCC02-2","250920SPA1M00530025"
LOTMT0847,ABCC10447-01,A511110850R,"251202SPA1M00020008",L18E0129-1,"251028SPA1M00060040"
LOTMT1686,ABCC10602-01,A511110850R,"251202SPA1M00020008",L8320229-1,"251121SPA1M00160029"
LOTMT1647,ABCC10509-01SA,A511110850R,"251202SPA1M00020008","31K5B251-3","250829SPA1M00170031"
LOTMT1086,ABCC10602-01,A510200850R,"251111SPA1M00070010",L268A129-3,"251108SPA1M00040030"
